timestamp,q0,q1,q2,q3,ax,ay,az,gx,gy,gz,mx,my,mz,alt,temp
3.10183,-0.088,-0.858,0.504,-0.037,-0.009,-0.031,1.018,-0.247,0.348,0.251,0.323,-0.315,-1.907,8.020,20.929
3.12183,-0.089,-0.859,0.504,-0.037,-0.007,-0.039,1.016,-0.248,0.351,0.243,0.323,-0.315,-1.907,8.020,20.929
3.14184,-0.090,-0.859,0.503,-0.037,-0.015,-0.036,1.017,-0.243,0.350,0.251,0.323,-0.315,-1.907,8.433,20.927
3.16184,-0.091,-0.859,0.503,-0.038,-0.013,-0.036,1.004,-0.252,0.352,0.241,0.323,-0.315,-1.907,8.433,20.927
3.18184,-0.092,-0.859,0.502,-0.038,-0.007,-0.035,1.005,-0.256,0.355,0.254,0.313,-0.314,-1.921,8.433,20.927
3.20184,-0.093,-0.859,0.502,-0.039,-0.014,-0.038,0.999,-0.256,0.351,0.254,0.313,-0.314,-1.921,8.433,20.927
3.22182,-0.094,-0.859,0.501,-0.039,-0.010,-0.036,1.008,-0.240,0.351,0.225,0.313,-0.314,-1.921,7.642,20.929
3.24184,-0.095,-0.860,0.501,-0.039,-0.006,-0.030,1.009,-0.258,0.351,0.246,0.313,-0.314,-1.921,7.642,20.929
3.26183,-0.095,-0.860,0.500,-0.039,-0.000,-0.037,1.004,-0.251,0.354,0.273,0.313,-0.314,-1.921,7.642,20.929
3.28183,-0.096,-0.860,0.500,-0.040,-0.007,-0.036,1.006,-0.251,0.352,0.244,0.304,-0.320,-1.917,7.642,20.929
3.30184,-0.097,-0.860,0.500,-0.040,-0.008,-0.036,0.996,-0.248,0.350,0.252,0.304,-0.320,-1.917,8.053,20.931
3.32182,-0.098,-0.860,0.500,-0.040,-0.010,-0.035,1.010,-0.254,0.352,0.214,0.304,-0.320,-1.917,8.053,20.931
3.34185,-0.098,-0.860,0.500,-0.041,-0.011,-0.032,1.002,-0.236,0.351,0.252,0.304,-0.320,-1.917,8.053,20.931
3.36184,-0.099,-0.860,0.500,-0.041,-0.007,-0.035,1.009,-0.253,0.350,0.247,0.304,-0.320,-1.917,8.053,20.931
3.38184,-0.099,-0.859,0.500,-0.041,-0.017,-0.038,1.009,-0.253,0.350,0.233,0.301,-0.328,-1.915,7.488,20.931
3.40184,-0.100,-0.859,0.501,-0.041,-0.012,-0.037,1.001,-0.252,0.354,0.251,0.301,-0.328,-1.915,7.488,20.931
3.42184,-0.101,-0.859,0.501,-0.042,-0.007,-0.035,0.990,-0.249,0.350,0.238,0.301,-0.328,-1.915,7.488,20.931
3.44185,-0.101,-0.859,0.500,-0.042,0.002,-0.028,1.005,-0.254,0.351,0.240,0.301,-0.328,-1.915,7.488,20.931
3.46185,-0.101,-0.859,0.500,-0.042,-0.009,-0.030,0.999,-0.253,0.351,0.238,0.301,-0.328,-1.915,8.637,20.931
3.48183,-0.102,-0.859,0.500,-0.042,-0.007,-0.042,1.012,-0.249,0.355,0.232,0.317,-0.334,-1.905,8.637,20.931
3.50184,-0.103,-0.859,0.500,-0.042,-0.019,-0.031,1.009,-0.249,0.350,0.221,0.317,-0.334,-1.905,8.637,20.931
3.52187,-0.103,-0.859,0.500,-0.043,-0.012,-0.035,1.006,-0.248,0.360,0.228,0.317,-0.334,-1.905,8.637,20.931
3.54185,-0.104,-0.859,0.500,-0.043,-0.008,-0.036,1.003,-0.245,0.356,0.224,0.317,-0.334,-1.905,8.334,20.931
3.56184,-0.104,-0.859,0.500,-0.043,-0.013,-0.036,0.996,-0.248,0.352,0.224,0.317,-0.334,-1.905,8.334,20.931
3.58185,-0.104,-0.859,0.499,-0.043,-0.007,-0.038,0.994,-0.251,0.351,0.239,0.324,-0.331,-1.908,8.334,20.931
3.60184,-0.105,-0.859,0.499,-0.044,-0.011,-0.023,1.008,-0.245,0.355,0.254,0.324,-0.331,-1.908,8.334,20.931
3.62184,-0.105,-0.860,0.498,-0.044,-0.009,-0.036,1.022,-0.254,0.354,0.243,0.324,-0.331,-1.908,8.334,20.933
3.64186,-0.105,-0.860,0.498,-0.044,-0.011,-0.033,1.008,-0.245,0.352,0.238,0.324,-0.331,-1.908,8.472,20.933
3.66184,-0.106,-0.860,0.498,-0.044,-0.009,-0.037,1.004,-0.246,0.350,0.246,0.324,-0.331,-1.908,8.472,20.933
3.68184,-0.106,-0.860,0.497,-0.044,-0.006,-0.035,1.008,-0.248,0.360,0.238,0.323,-0.310,-1.934,8.472,20.933
3.70184,-0.106,-0.861,0.496,-0.044,-0.006,-0.037,0.993,-0.248,0.356,0.258,0.323,-0.310,-1.934,8.472,20.933
3.72183,-0.107,-0.861,0.496,-0.045,-0.010,-0.039,1.001,-0.247,0.354,0.255,0.323,-0.310,-1.934,8.610,20.938
3.74185,-0.107,-0.861,0.496,-0.045,-0.013,-0.040,1.003,-0.245,0.356,0.228,0.323,-0.310,-1.934,8.610,20.938
3.76184,-0.107,-0.861,0.495,-0.045,-0.014,-0.033,0.994,-0.253,0.362,0.227,0.323,-0.310,-1.934,8.610,20.938
3.78183,-0.108,-0.861,0.495,-0.045,-0.015,-0.039,0.999,-0.254,0.351,0.258,0.317,-0.303,-1.945,8.610,20.938
